"P46654" "RPS0B;RPS0A"
"Q01896" "ENA2;ENA5;ENA1"
"P23644" "TOM40"
"P33298" "RPT3"
"P27514" "PHO91"
"P53337" "ERV29"
"P39107" "MNN9"
"Q99394" "TRS33"
"P38295" "EHT1"
"P33329" "PPZ2;PPZ1"
"Q12377" "RPN6"
"P40582" "GTT1"
"P38084" "BAP2"
"P34240" "ZRT3"
"P47912" "FAA4"
"P40495" "LYS12"
"P36018" "YPT52"
"P25568" "ATG22"
"P13586" "PMR1"
"P32610" "VMA8"
"P39968" "VAC8"
"P54783" "ALO1"
"P40527" "NEO1"
"P17695" "GRX2"
"P41056" "RPL33B"
"P18962" "DAP2"
"P51402" "RPL37B"
"Q08144" "TLG2"
"P40986" "CDC1"
"Q12207" "NCE102"
"P08004" "CHS1"
"P42838" "LEM3"
"P12866" "STE6"
"P54070" "KTR6"
"P39548" ""
"P36107" "AUR1"
"P38925" "SMF1"
"P43555" "EMP47"
"P53109" "AIM14"
"P53093" "YIP4"
"D6VTK4" "STE2"
"Q06538" "YLR241W"
"P11491" "PHO8"
"P38244" ""
"P38929" "PMC1"
"P47818" "CCC1"
"Q04121" "NHX1"
"Q08232" "YOL073C"
"P43561" "FET5"
"P32466" "HXT3"
"P38778" "SMF2"
"P39727" "ERV46"
"Q12057" "PIN2"
"P46956" "PHO86"
"Q02725" "VTC3"
"P33336" "SKN1"
"Q12078" "SMF3"
"Q12250" "RPN5"
"P47154" "STE24"
"P38111" "MEC1"
"P33416" "HSP78"
"P39962" "YCK3"
"P38069" "MNN2"
"P46982" "MNN5"
"P39986" "SPF1"
"P32386" "YBT1"
"P25374" "NFS1"
"Q8J0M4" ""
"P53747" ""
"P69771" "DID2"
"Q03466" "EBS1"
"P35724" "MNR2"
"Q05567" "DPL1"
