"P46654" "RPS0B;RPS0A"
"P14020" "DPM1"
"P32939" "YPT7"
"P53281" "LSB1"
"P20436" "RPB8"
"P38968" "SEC31"
"P01120" "RAS2"
"P32496" "RPN12"
"P08518" "RPB2"
"P01123" "YPT1"
"P14907" "NSP1"
"P46672" "ARC1"
"P31787" "ACB1"
"P38248" "ECM33"
"P15646" "NOP1"
"P02557" "TUB2"
"P38216" ""
"P49626" "RPL4B"
"P32558" "SPT16"
"P07267" "PEP4"
"Q07362" "PBP4"
"Q03559" "YMR295C"
"Q04338" "VTI1"
"P20107" "ZRC1"
"P27809" "KRE2"
"P32621" "GDA1"
"P32857" "PTM1"
"P38736" "GOS1"
"Q04562" "TMN2"
"P39106" "MNN1"
"P40483" "YIL108W"
"P39719" "FLC2"
"P32319" "PEP1;VTH1;VTH2"
"P27810" "KTR1"
"P31377" "SYN8"
"P36017" "VPS21"
"P38131" "KTR4"
"P46985" "MNN11"
"P53549" "RPT4"
"Q12015" ""
"Q12255" "NYV1"
"Q12296" "MAM3"
"P43585" "VTC2"
"P16603" "NCP1"
"P39005" "KRE9"
"P54867" "SLG1"
"Q06689" "YLR413W"
"Q08954" "YPL199C"
"P25045" "LCB1"
"Q03322" "TLG1"
"P22214" "SEC22"
"O13563" "RPN13"
"P25384" "TY2B-C;TY2B-DR2;TY2B-DR3;TY2B-LR1;TY2B-GR1;TY2B-DR1;TY2B-LR2;TY2A-C;TY2B-F;TY2B-GR2;TY2B-B;TY2B-OR2;TY2A-GR1;TY2A-LR1;TY2A-DR1;TY2A-LR2;TY2A-DR2;TY2A-DR3;TY2A-B;TY2A-OR2;TY2A-F;TY2A-GR2"
"Q06151" "DCS1"
"P32802" "EMP70"
"P30605" "ITR1"
"P39743" "RVS167"
"P39524" "DRS2"
"P16370" "RPB3"
"Q08157" "YOL019W"
"P23644" "TOM40"
"P33298" "RPT3"
"P27514" "PHO91"
"P53337" "ERV29"
"P38295" "EHT1"
"P33329" "PPZ2;PPZ1"
"Q12377" "RPN6"
"P06780" "RHO1"
"P39935" "TIF4631"
"P32497" "NIP1"
"P09734" "TUB3"
"P38084" "BAP2"
"P34240" "ZRT3"
"P40319" "SUR4"
